,AUS: Australia,AUT: Austria,BEL: Belgium,CAN: Canada,CHL: Chile,COL: Colombia,CZE: Czech Republic,DNK: Denmark,EST: Estonia,FIN: Finland,FRA: France,DEU: Germany,GRC: Greece,HUN: Hungary,ISL: Iceland,IRL: Ireland,ISR: Israel,ITA: Italy,JPN: Japan,KOR: Korea,LVA: Latvia,LTU: Lithuania,LUX: Luxembourg,MEX: Mexico,NLD: Netherlands,NZL: New Zealand,NOR: Norway,POL: Poland,PRT: Portugal,SVK: Slovak Republic,SVN: Slovenia,ESP: Spain,SWE: Sweden,CHE: Switzerland,TUR: Turkey,GBR: United Kingdom,USA: United States
AUS: Australia,..,21388.113,946518.066,1517281.471,227386.81,25499.08,90794.163,85053.822,9112.449,52089.502,1092134.445,1703920.091,24645.467,43156.198,181263.007,62923.117,195374.209,464110.487,39454955.16,17463868.87,18005.559,5011.315,14411.247,190329.941,2167155.77,7076784.836,157026.473,398159.889,11347.73,2936.409,67939.467,313874.275,349786.135,1316356.495,339478.584,10570263.97,10170511.49
AUT: Austria,1712828.719,..,3147090.76,1424575.664,220784.275,142806.011,6023591.381,837177.77,169162.7,722487.41,7501371.628,50107811.07,594784.485,6131348.403,46921.399,383583.892,454786.764,10808279.45,1778020.879,1321181.075,170077.19,300372.45,204094.609,1494939.861,3286753.176,198335.307,794516.147,5769139.479,496503.575,3521384.646,3542553.517,2773093.778,1942891.619,8603526.899,1268987.591,4944639.584,11366169.11
BEL: Belgium,1988180.09,4487520.41,..,4184877.151,606796.757,516549.178,4211213.981,3300361.39,433474.41,2484230.331,62673880.76,79659320.11,1870399.62,3358176.345,94131.567,2762405.012,2343770.594,22072228.77,4059569.992,1795369.341,391657.398,889366.264,7920943.944,1602970.168,53669821.16,311988.436,1938807.733,9835004.509,2678763.268,1303793.395,740989.385,12461070.8,7332486.76,6512789.149,5284338.62,33862455.58,27650446.52
CAN: Canada,1700594.574,195248.519,2425808.317,..,661844.925,705261.857,233930.341,205218.036,20185.389,527575.808,2741157.443,4577869.058,99721.981,68578.913,57917.667,635429.356,270509.68,2442903.85,9515970.981,4178012.819,344274.384,74874.295,76821.282,5518631.071,3904502.031,374997.48,1630355.068,569229.588,214846.128,30403.366,71653.346,1133357.732,340876.129,1080278.966,1219305.491,14928056.27,336214851.4
CHL: Chile,273984.069,79361.361,486426.135,996900.695,..,643090.854,12660.173,122022.915,4945.467,229308.993,883212.572,831744.765,48742.024,3115.339,3016.99,52439.532,124994.839,753553.108,6366849.959,4696299.468,11563.592,20091.305,387.219,1354352.411,1573292.057,73852.968,42336.675,74894.424,42131.902,1244.672,4203.083,1250338.46,97724.904,590540.592,231476.796,620355.825,9494259.296
COL: Colombia,85333.912,1896.702,486826.741,446193.647,967862.875,..,5021.49,9426.694,3059.836,73116.45,139355.061,482662.703,19854.455,1433.27,355.638,27895.21,365992.566,776278.007,466279.678,482030.32,2743.405,1422.922,8001.516,1408993.739,1215052.531,15438.341,42728.625,137553.347,184913.837,1169.811,33808.678,500048.706,34791.172,172231.529,1198124.281,470397.916,12265652.57
CZE: Czech Republic,436163.716,8556543.321,4165647.802,337201.492,84900.211,67162.897,..,2004450.327,397927.407,1051238.285,10242845.42,63526531.29,514593.733,6495043.435,37999.425,965693.279,953189.268,7584695.868,986649.622,458710.618,294915.826,779258.733,272799.186,824294.885,7548042.809,109864.929,863073.447,12027950.28,748034.598,15099747.9,975795.551,6400521.575,3268348.205,3074123.076,1925861.858,8990745.019,4639264.969
DNK: Denmark,896659.745,687087.833,1873674.68,499947.877,153297.524,50671.239,612470.597,..,268967.221,1938751.474,3244281.289,15066491.29,508933.379,507582.555,490067.821,706833.019,161174.479,2330676.259,1551855.387,703620.71,273149.451,460507.05,81108.477,357029.658,5357043.768,125560.538,6372629.375,3370942.337,308869.976,266531.071,106835.021,1905753.394,10848038.04,818666.353,936580.643,6090728.189,5194240.882
EST: Estonia,84333.154,65438.155,310459.937,142677.207,10144.995,1046.002,96735.718,664851.657,..,2617818.301,343180.061,1013239.11,20320.104,44660.692,44560.766,19761.766,29823.478,174658.622,90296.471,59151.207,1463442.058,984962.907,675.604,44455.954,526147.04,8359.314,608381.407,372493.92,29942.706,35774.254,16362.217,244065.906,1686350.865,123531.331,166595.954,328879.419,1149922.059
FIN: Finland,723751.08,459324.575,2250161.451,547622.699,346623.086,86947.254,386851.501,1106280.103,1943553.752,..,2122208.695,10440898.15,148730.69,280952.114,57909.998,190844.495,195187.066,2590241.476,1297767.682,809277.076,683669.13,656406.919,24036.88,426629.789,4336926.777,94909.693,1899660.231,1937271.352,200014.83,150031.898,70697.154,1232706.608,7473356.617,659331.915,754381.108,2877362.019,5199637.253
FRA: France,2967580.157,4507350.499,38344195.38,4196426.989,1809756.548,790965.386,5283119.22,3453667.774,439210.229,2149946.166,..,78210511.11,2743320.305,4169883.561,88163.937,3766857.088,1719055.741,42046621.69,8639797.412,5811574.736,402025.987,695049.501,2805244.1,4105740.689,19651657.46,590850.992,2077514.27,11431653.91,8003259.5,3331202.587,1509629.255,41703084.1,6053688.073,19909387.84,6655072.372,38469023.65,47114062.3
DEU: Germany,10370544.32,70988488.26,51634515.39,12313775.3,3250916.706,1931300.141,49459744.54,21492643.8,2032871.719,12380022.32,119249537.1,..,6803026.968,30092940.66,552264.031,8938287.313,5326717.713,75801862.54,23241210.16,19368616.36,1930518.054,3875090.021,6406466.368,15407646.52,92760194.93,1928137.112,10548560.99,73592537.19,11919404.1,15687326.06,6133507.471,49495538.04,27889580.66,64755169.35,22023429.02,88405572.1,133545758.3
GRC: Greece,210947.54,326444.445,536375.013,171660.455,20756.006,15943.687,293535.918,214758.619,36648.694,188272.325,1323315.035,2514254.988,..,230632.561,4811.267,165805.391,528028.941,4071565.819,212989.848,175482.466,26837.925,51829.336,25307.277,190554.358,781695.657,25067.988,112988.868,553193.474,229206.604,165696.788,582061.996,1209099.456,239234.72,172455.186,2209462.526,1365592.493,1461203.198
HUN: Hungary,561438.422,5642630.741,3043331.304,252770.157,79115.667,102132.553,5239907.624,873502.418,108876.834,430467.477,5281012.382,33827808.5,564716.988,..,13440.203,305083.429,378012.777,6271731.82,699851.957,378109.24,214295.579,260182.438,112147.895,867594.853,4239196.663,73067.275,197541.582,5175806.226,617760.393,6405978.765,1315322.87,3554374.348,1738499.608,1220086.183,1932614.693,4025510.627,3419215.158
ISL: Iceland,13951.792,1616.733,77439.634,225302.992,7232.316,447.811,3425.308,121857.486,1114.022,5583.13,370054.184,309285.848,4963.699,37003.414,..,18005.505,795.756,33891.737,62853.099,12407.581,8580.614,44265.489,1391.87,1302.876,1373893.052,14004.691,201970.832,110433.657,96555.629,6828.866,237.482,495357.615,30730.755,17428.79,20096.008,543630.84,380482.439
IRL: Ireland,869153.624,465624.694,17358579.23,1724433.027,90185.773,180820,628636.715,740842,21194.223,309923.319,6094622.257,15221004.29,941662.702,365594.115,101877.088,..,355899.321,4349518.495,3161327.924,595679.862,84158.662,40256.505,92494.999,1719504.057,9654247.177,101079.312,257795.756,1323124.33,470150.001,104384.627,128043.99,2638469.075,1053198.001,6190188.565,730074.553,17655483.78,52573541.56
ISR: Israel,503372,73280,1636870,625107,132091,86549,135211,94084,9826,50416,1545605,1671156,442560,128497,2336,86017,..,949748,876599,706440,28184,36265,12622,351810,2176035,79579,57141,509892,97847,17553,336786,987876,130043,1073201,1757418,4992268,15958882
ITA: Italy,4488601.238,11487550.98,15742248.79,5037413.395,1199146.374,750688.457,7243109.029,3254652.595,517561.083,1938165.366,55776883.43,65055849.8,5082978.305,5397355.131,120367.492,2004994.58,2862086.491,..,8664416.614,5450316.495,614433.537,1083239.735,709076.991,4365365.582,13254198.3,638713.91,2108399.019,14873322.8,4823164.186,3474019.597,4936845.104,26897312.41,5595594.2,29193048.15,9329286.425,27891600.74,51041709.36
JPN: Japan,14491212.4,1220609.519,7448680.963,8876438.942,2046080.504,1124972.903,1598990.008,554477.35,189144.908,464978.775,6842848.215,20227424.65,571479.72,1697213.352,55250.052,908647.001,1666056.525,4599577.895,..,46269029.21,53146.614,65056.54,469090.162,10638399.5,11912833.9,2329993.951,979481.709,2875110.185,470219.615,222714.651,167923.169,3403246.595,1461633.448,4096533.727,2513961.072,13881612.44,140428150.3
KOR: Korea,7890430.129,864802.466,2707099.368,5567578.712,1214355.761,1143074.599,2114044.302,447817.1,90659.054,308176.568,3392058.041,8685311.599,1639553.477,2477567.392,98414.65,650050.463,1426030.176,3773364.654,28420167.96,..,70076.659,344278.357,24619.442,10927015.74,4243100.597,1391888.261,1801975.747,5314948.397,504686.082,2314661.647,1787939.592,2769853.205,1070505.06,602331.034,5297808.205,5539086.553,73598903.63
LVA: Latvia,19859.156,81942.445,168924.729,27152.519,5022.689,3859.958,187703.951,619564.664,1689465.574,357773.228,275800.78,1045696.669,24758.467,72309.323,34042.238,59092.755,34002.316,215117.312,62804.248,79361.713,..,2474565.96,9348.086,13656.288,390156.957,8117.376,327058.575,522463.559,29097.848,70743.963,23388.106,198953.159,955304.154,50930.597,177793.182,813140.088,228960.906
