source,target,sign
Bluehead Wrasse,American Eel,-1
Carribean Spiny Lobster,American Eel,-1
Florida Gar,American Eel,1
French Angelfish,American Eel,-1
French Grunt,American Eel,-1
Gray Snapper,American Eel,1
Gulf Flounder,American Eel,1
Hogfish,American Eel,-1
Jolthead Porgy,American Eel,-1
Ladyfish,American Eel,1
Long-Spined Sea Urchin,American Eel,-1
Mangrove Species Rivulus,American Eel,1
Oyster Toadfish,American Eel,1
Queen Conch,American Eel,-1
Queen Triggerfish,American Eel,-1
Sheepshead,American Eel,1
King Mackerel,Atlantic Sailfish,1
Atlantic Sailfish,Bar Jack,1
Black Grouper,Barred Hamlet,1
Dusky Squirrelfish,Barred Hamlet,1
Long-Spined Sea Urchin,Barred Hamlet,1
Longsnout Bufferflyfish,Barred Hamlet,1
Sergeant Major,Barred Hamlet,1
Spanish Spotted Lobster,Barred Hamlet,1
Long-Spined Sea Urchin,Black Grouper,1
Longsnout Bufferflyfish,Black Grouper,1
Red Drum,Black Grouper,-1
Sergeant Major,Black Grouper,1
Spanish Spotted Lobster,Black Grouper,1
Barred Hamlet,Black Margate,1
Black Grouper,Black Margate,1
Carribean Spiny Lobster,Black Margate,1
Dusky Squirrelfish,Black Margate,1
Long-Spined Sea Urchin,Black Margate,1
Longsnout Bufferflyfish,Black Margate,1
Sergeant Major,Black Margate,1
Spanish Spotted Lobster,Black Margate,1
Florida Pompano,Black Tip Shark,1
Black Grouper,Bluehead Wrasse,1
Carribean Reef Squid,Bluehead Wrasse,1
French Grunt,Bluehead Wrasse,1
Green Moray,Bluehead Wrasse,1
Longsnout Bufferflyfish,Bluehead Wrasse,1
Queen Conch,Bluehead Wrasse,1
Queen Triggerfish,Bluehead Wrasse,1
Reef Croaker,Bluehead Wrasse,1
Spanish Spotted Lobster,Bluehead Wrasse,1
American Eel,Bonefish,1
Brown Shrimp,Bonefish,1
Bucktooth (Emerald) Parrotfish,Bonefish,1
Gulf Flounder,Bonefish,1
Pink Shrimp,Bonefish,1
Spanish Sardine,Bonefish,1
American Eel,Brown Shrimp,1
Bucktooth (Emerald) Parrotfish,Brown Shrimp,1
French Angelfish,Brown Shrimp,-1
Gulf Flounder,Brown Shrimp,1
Ladyfish,Brown Shrimp,1
Oyster Toadfish,Brown Shrimp,1
Sheepshead,Brown Shrimp,1
Green Moray,Carribean Reef Squid,1
Queen Conch,Carribean Reef Squid,1
Queen Triggerfish,Carribean Reef Squid,1
Atlantic Sailfish,Carribean Spiny Lobster,1
Florida Stone Crab,Carribean Spiny Lobster,1
Longsnout Bufferflyfish,Carribean Spiny Lobster,1
Queen Conch,Carribean Spiny Lobster,1
Sergeant Major,Carribean Spiny Lobster,1
Spanish Spotted Lobster,Carribean Spiny Lobster,1
Barred Hamlet,Cero Mackerel,1
Black Grouper,Cero Mackerel,1
Black Margate,Cero Mackerel,1
Bluehead Wrasse,Cero Mackerel,1
Carribean Reef Squid,Cero Mackerel,1
Dusky Squirrelfish,Cero Mackerel,1
French Grunt,Cero Mackerel,1
Green Moray,Cero Mackerel,1
Longsnout Bufferflyfish,Cero Mackerel,1
Queen Conch,Cero Mackerel,1
Queen Triggerfish,Cero Mackerel,1
Reef Croaker,Cero Mackerel,1
Sergeant Major,Cero Mackerel,1
Spanish Spotted Lobster,Cero Mackerel,1
Atlantic Sailfish,Cobia,1
Florida Pompano,Cobia,1
King Mackerel,Cobia,1
American Eel,Crevalle Jack,1
Florida Gar,Crevalle Jack,1
Black Grouper,Dusky Squirrelfish,1
Longsnout Bufferflyfish,Dusky Squirrelfish,1
Sergeant Major,Dusky Squirrelfish,1
Sheepshead Minnow,Dusky Squirrelfish,-1
Spanish Spotted Lobster,Dusky Squirrelfish,1
Gray Snapper,Florida Gar,1
King Mackerel,Florida Gar,-1
Ladyfish,Florida Gar,1
Long-Spined Sea Urchin,Florida Gar,-1
Mangrove Species Rivulus,Florida Gar,1
Oyster Toadfish,Florida Gar,1
Queen Conch,Florida Gar,-1
Queen Triggerfish,Florida Gar,-1
Sheepshead,Florida Gar,1
American Eel,Florida Pompano,1
Bonefish,Florida Pompano,1
Bucktooth (Emerald) Parrotfish,Florida Pompano,1
Gulf Flounder,Florida Pompano,1
Permit,Florida Pompano,1
Spanish Sardine,Florida Pompano,1
Queen Conch,Florida Stone Crab,1
Sheepshead,Florida Stone Crab,1
Barred Hamlet,French Angelfish,1
Black Grouper,French Angelfish,1
Black Margate,French Angelfish,1
Bluehead Wrasse,French Angelfish,1
Bonefish,French Angelfish,-1
Carribean Reef Squid,French Angelfish,1
Cero Mackerel,French Angelfish,1
Dusky Squirrelfish,French Angelfish,1
French Grunt,French Angelfish,1
Green Moray,French Angelfish,1
Longsnout Bufferflyfish,French Angelfish,1
Pink Shrimp,French Angelfish,-1
Queen Conch,French Angelfish,1
Queen Triggerfish,French Angelfish,1
Reef Croaker,French Angelfish,1
Sergeant Major,French Angelfish,1
Sheepshead Minnow,French Angelfish,-1
Spanish Spotted Lobster,French Angelfish,1
Striped Mullet,French Angelfish,-1
Black Grouper,French Grunt,1
Carribean Reef Squid,French Grunt,1
Green Moray,French Grunt,1
Long-Spined Sea Urchin,French Grunt,1
Longsnout Bufferflyfish,French Grunt,1
Queen Conch,French Grunt,1
Queen Triggerfish,French Grunt,1
Sergeant Major,French Grunt,1
Carribean Spiny Lobster,Goliath Grouper,1
Ladyfish,Goliath Grouper,1
Mangrove Species Rivulus,Goliath Grouper,1
